str,en_US,zh_CN,hi_IN
settings.live_list_id.tips,"Please enter the Host ID, then select the Live ID from the list.","请输入 Host ID, 然后在列表选择直播ID","कृपया होस्ट आईडी दर्ज करें, फिर सूची से लाइव आईडी चुनें।"
settings.live_list_id.host_id,"Host ID","主播ID","होस्ट आईडी"
settings.live_list_id.live_id,"Live ID","直播间ID","लाइव आईडी"
settings.live_list.axis,"Is it horizontal layout?","是否水平方向平铺","क्या यह क्षैतिज लेआउट है?"
settings.live_list.axis_count,"Number of rows/columns","平铺行/列数","पंक्तियों/कॉलम की संख्या"
settings.row,"Row","行","पंक्ति"
settings.column,"Column","列","कॉलम"
settings.conference_list_id,"Conferences ID",会议列表ID,"सम्मेलन ID"
settings.call_list_id,"Calls ID",通话列表ID,"कॉल ID"
settings.audio_list_id,"Rooms ID",房间列表ID,"कमरों का ID"
settings.id_tips,"Please input ID and press button to add",请填写ID并且点击按钮添加,"कृपया ID दर्ज करें और जोड़ने के लिए बटन दबाएं"
settings.star_tips,"* indicates that must restart the app to take effect","*代表重启app才能生效","* का अर्थ है प्रभावी होने के लिए ऐप को पुनः प्रारंभ करना आवश्यक है"
settings.screen_sharing,"Screen Sharing",屏幕分享,"स्क्रीन साझा करना"
settings.media_sharing,"Media Sharing",多媒体分享,"मीडिया साझा करना"
settings.auto_play,"Auto Play",自动播放,"स्वचालित चलाना"
settings.pip,PIP,画中画,"PIP"
settings.pk,PK,PK,PK
settings.pk.auto_accept,"Auto Accept",自动接受,"स्वचालित रूप से स्वीकार करें।"
settings.use_module_prefix,"Use module prefix",模块是否区分,"मॉड्यूल उपसर्ग का उपयोग करें"
settings.stream_mode,"Stream Mode",流模式,"स्ट्रीम मोड"
settings.co_host,"Co-Host",连麦,"सह-होस्ट"
settings.co_host.stop_co_hosting_when_mic_camera_off,"Stop Co-Hosting When Mic & Camera Off",麦克风和摄像头关闭时停止连麦,"माइक और कैमरा बंद होने पर सह-होस्टिंग बंद करें"
settings.co_host.disable_invitation_received_dialog,"Disable Invitation Received Dialog",禁用连麦邀请对话框,"आमंत्रण प्राप्त संवाद अक्षम करें"
settings.co_host.max_co_host_count,"Max Co-Host Count",最大连麦人数,"अधिकतम सह-होस्ट संख्या"
settings.co_host.invite_timeout_second,"Invite Timeout (seconds)",邀请超时时间(秒),"आमंत्रण टाइमआउट (सेकंड)"
settings.signaling_plugin,"Signaling Plugin",信令插件,"सिग्नलिंग प्लगइन"
settings.signaling_plugin.uninit_on_dispose,"Uninit on Dispose",销毁时不初始化,"निपटान पर अनइनिशियलाइज़ करें"
settings.signaling_plugin.leave_room_on_dispose,"Leave Room on Dispose",销毁时离开房间,"निपटान पर कमरा छोड़ें"
settings.basic,"Basic",基础配置,"मूल सेटिंग्स"
settings.turn_on_camera_when_joining,"Turn on Camera When Joining",加入时开启摄像头,"शामिल होते समय कैमरा चालू करें"
settings.use_front_facing_camera,"Use Front Facing Camera",使用前置摄像头,"सामने वाला कैमरा उपयोग करें"
settings.turn_on_microphone_when_joining,"Turn on Microphone When Joining",加入时开启麦克风,"शामिल होते समय माइक्रोफोन चालू करें"
settings.use_speaker_when_joining,"Use Speaker When Joining",加入时使用扬声器,"शामिल होते समय स्पीकर उपयोग करें"
settings.root_navigator,"Root Navigator",根导航器,"रूट नेविगेटर"
settings.enable_accidental_touch_prevention,"Enable Accidental Touch Prevention",启用防误触,"आकस्मिक स्पर्श रोकथाम सक्षम करें"
settings.mark_as_large_room,"Mark as Large Room",标记为大房间,"बड़े कमरे के रूप में चिह्नित करें"
settings.slide_surface_to_hide,"Slide Surface to Hide",滑动隐藏界面,"सतह छुपाने के लिए स्लाइड करें"
settings.show_background_tips,"Show Background Tips",显示背景提示,"पृष्ठभूमि टिप्स दिखाएँ"
settings.show_toast,"Show Toast",显示提示,"टोस्ट दिखाएँ"
settings.is_video_mirror,"Is Video Mirror",视频镜像,"वीडियो मिरर"
settings.show_camera_state_on_view,"Show Camera State On View",在视图上显示摄像头状态,"दृश्य पर कैमरा स्थिति दिखाएँ"
settings.show_only_camera_microphone_opened,"Show Only Camera Microphone Opened",仅显示已开启摄像头/麦克风的用户,"केवल कैमरा/माइक्रोफोन चालू उपयोगकर्ता दिखाएँ"
settings.show_local_user,"Show Local User",显示本地用户,"स्थानीय उपयोगकर्ता दिखाएँ"
settings.show_waiting_call_accept_audio_video_view,"Show Waiting Call Accept Audio Video View",显示等待接听通话的音视频视图,"कॉल स्वीकार करने की प्रतीक्षा में ऑडियो वीडियो दृश्य दिखाएँ"
settings.show_avatar_in_audio_mode,"Show Avatar in Audio Mode",音频模式显示头像,"ऑडियो मोड में अवतार दिखाएँ"
settings.show_sound_waves_in_audio_mode,"Show Sound Waves in Audio Mode",音频模式显示声波,"ऑडियो मोड में ध्वनि तरंगें दिखाएँ"
settings.top_menu_bar,"Top Menu Bar",顶部菜单栏,"शीर्ष मेनू बार"
settings.hide_automatically,"Hide Automatically",自动隐藏,"स्वचालित रूप से छुपाएँ"
settings.hide_by_click,"Hide By Click",点击隐藏,"क्लिक करके छुपाएँ"
settings.show_close_button,"Show Close Button",显示关闭按钮,"बंद बटन दिखाएँ"
settings.bottom_menu_bar,"Bottom Menu Bar",底部菜单栏,"नीचे मेनू बार"
settings.show_in_room_message_button,"Show In Room Message Button",显示房间消息按钮,"कमरे संदेश बटन दिखाएँ"
settings.bottom_menu_bar_max_count,"Bottom Menu Bar Max Count",底部菜单栏最大按钮数,"नीचे मेनू बार अधिकतम बटन संख्या"
settings.member_list,"Member List",成员列表,"सदस्य सूची"
settings.show_camera_state,"Show Camera State",显示摄像头状态,"कैमरा स्थिति दिखाएँ"
settings.show_fake_user,"Show Fake User",显示假用户,"नकली उपयोगकर्ता दिखाएँ"
settings.notify_user_join,"Notify User Join",通知用户加入,"उपयोगकर्ता शामिल होने की सूचना दें"
settings.notify_user_leave,"Notify User Leave",通知用户离开,"उपयोगकर्ता छोड़ने की सूचना दें"
settings.in_room_message,"In Room Message",房间消息,"कमरे में संदेश"
settings.in_room_message.visible,"In Room Message Visible",房间消息可见,"कमरे में संदेश दिखाई देता है"
settings.in_room_message.show_fake_message,"Show Fake Message",显示假消息,"नकली संदेश दिखाएँ"
settings.in_room_message.show_name,"Show Name",显示名称,"नाम दिखाएँ"
settings.in_room_message.show_avatar,"Show Avatar",显示头像,"अवतार दिखाएँ"
settings.in_room_message.opacity,"Opacity",透明度,"पारदर्शिता"
settings.in_room_message.width,"In Room Message Width",房间消息宽度,"कमरे में संदेश चौड़ाई"
settings.in_room_message.height,"In Room Message Height",房间消息高度,"कमरे में संदेश ऊंचाई"
settings.duration.is_visible,"Duration Visible",时长可见,"अवधि दिखाई देती है"
settings.preview,"Preview",预览,"पूर्वावलोकन"
settings.preview.show_preview_for_host,"Show Preview for Host",主播显示预览,"होस्ट के लिए पूर्वावलोकन दिखाएँ"
settings.preview.top_bar_is_visible,"Preview Top Bar Visible",预览顶部栏可见,"पूर्वावलोकन शीर्ष बार दिखाई देता है"
settings.preview.bottom_bar_is_visible,"Preview Bottom Bar Visible",预览底部栏可见,"पूर्वावलोकन नीचे बार दिखाई देता है"
settings.preview.bottom_bar_show_beauty_effect_button,"Show Beauty Effect Button",显示美颜按钮,"सुंदरता प्रभाव बटन दिखाएँ"
settings.pk.user_reconnecting_second,"PK User Reconnecting Second",PK用户重连等待时间(秒),"PK उपयोगकर्ता पुन: कनेक्ट करने का समय (सेकंड)"
settings.pk.user_disconnected_second,"PK User Disconnected Second",PK用户断开超时时间(秒),"PK उपयोगकर्ता डिस्कनेक्ट टाइमआउट (सेकंड)"
settings.pk.top_padding,"PK Top Padding",PK顶部内边距,"PK शीर्ष पैडिंग"
settings.pk.custom_layout,"Use Custom Layout","是否使用自定义布局","Use Custom Layout"
settings.screen_sharing.auto_stop_invalid_count,"Auto Stop Invalid Count",自动停止无效计数,"स्वचालित रोक अमान्य गणना"
settings.screen_sharing.default_full_screen,"Default Full Screen",默认全屏,"डिफ़ॉल्ट पूर्ण स्क्रीन"
settings.media_player,"Media Player",媒体播放器,"मीडिया प्लेयर"
settings.media_player.support_transparent,"Support Transparent",支持透明,"पारदर्शी समर्थन"
settings.media_player.default_player_support,"Media Player Default Player Support",媒体播放器默认播放器支持,"मीडिया प्लेयर डिफ़ॉल्ट प्लेयर समर्थन"
settings.pip.aspect_width,"PIP Aspect Width",画中画宽高比宽度,"PIP अनुपात चौड़ाई"
settings.pip.aspect_height,"PIP Aspect Height",画中画宽高比高度,"PIP अनुपात ऊंचाई"
settings.pip.enable_when_background,"PIP Enable When Background",后台启用画中画,"पृष्ठभूमि में PIP सक्षम करें"
settings.pip.ios_support,"PIP iOS Support",iOS画中画支持,"iOS PIP समर्थन"
settings.pip.android_show_user_name,"PIP Android Show User Name",画中画Android显示用户名,"PIP Android उपयोगकर्ता नाम दिखाएँ"
settings.advance_beauty,"Advance Beauty",高级美颜,"उन्नत सुंदरता"
settings.invitation_about,"Invitation Abouts",邀请相关,"आमंत्रण के बारे में"
settings.invitation_timeout,"Timeout(seconds)",超时时间(秒),"टाइमआउट (सेकंड)"
settings.resource_id,"Resource ID",资源ID,"संसाधन ID"
settings.missed_notification,"Missed Notification",超时通知,"छूटे हुए नोटिफिकेशन"
settings.missed_notification_redial,"Missed Notification ReDial",超时通知回拨,"छूटे हुए नोटिफिकेशन री-डायल"
settings.call_in_calling,"Invite during a call",呼叫中邀请,"कॉल में कॉलिंग"
settings.only_invitor_can_invite_in_calling,"Only the inviter can invite others during the call",只有发起者才能在呼叫中邀请他人,"सिर्फ आमंत्रक ही कॉलिंग में आमंत्रित कर सकता है"
settings.safe_area,"Limit content display within the safe area",将内容限制显示安全区域内,"सामग्री को सुरक्षित क्षेत्र के भीतर प्रदर्शित करने तक सीमित करेंै"
settings.seat,Seat,坐席,"सीट"
settings.seat.close_when_joining,"Seat Close When Joining",加入时锁定坐席,"शामिल होते समय सीट बंद करें"
settings.seat.show_sound_wave_in_audio_mode,"Seat Show Sound Wave In Audio Mode",坐席音频模式显示声波,"सीट ऑडियो मोड में ध्वनि तरंगें दिखाएँ"
settings.seat.keep_original_foreground,"Seat Keep Original Foreground",坐席保留原始前景,"सीट मूल अग्रभूमि रखें"
settings.layout_mode,"Layout Mode",布局模式,"लेआउट मोड"
settings.show_background,"Show Background",显示背景,"पृष्ठभूमि दिखाएँ"
settings.show_host_info,"Show Host Info",显示主持人信息,"होस्ट जानकारी दिखाएँ"
settings.video_aspect_fill,Video Aspect Fill,视频等比填充,वीडियो अनुपात भरना
settings.audio_video,Audio & Video,音视频,ऑडियो और वीडियो
settings.show_mic_state,Show Microphone Icon,显示麦克风图标,माइक्रोफोन आइकन दिखाएँ
settings.show_user_name,Show User Name,显示用户名,उपयोगकर्ता नाम दिखाएँ
settings.show_microphone_state_on_view,"Show Microphone State On View",在视图上显示麦克风状态,"दृश्य पर माइक्रोफोन स्थिति दिखाएँ"
settings.show_user_name_on_view,"Show User Name On View",在视图上显示用户名,"दृश्य पर उपयोगकर्ता नाम दिखाएँ"
settings.show_video_on_invitee_call,Show Video on Invitee Call,被邀请者通话时显示视频,आमंत्रित किए गए कॉल पर वीडियो दिखाएँ
settings.ui_show_avatar,Show Avatar,显示头像,अवतार दिखाएँ
settings.ui_show_central_name,Show Central Name,显示中央名称,केंद्रीय नाम दिखाएँ
settings.ui_show_calling_text,Show Calling Text,显示通话文本,कॉलिंग टेक्स्ट दिखाएँ
settings.ui_use_video_view_aspect_fill,Use Video View Aspect Fill,使用视频视图等比填充,वीडियो व्यू अनुपात भरना उपयोग करें
settings.ui_default_microphone_on,Default Microphone On,默认开启麦克风,डिफ़ॉल्ट माइक्रोफोन चालू
settings.ui_default_camera_on,Default Camera On,默认开启摄像头,डिफ़ॉल्ट कैमरा चालू
settings.ui_default_speaker_on,Default Speaker On,默认开启扬声器,डिफ़ॉल्ट स्पीकर चालू
settings.ui_show_main_buttons_text,Show Main Buttons Text,显示主按钮文本,मुख्य बटन टेक्स्ट दिखाएँ
settings.ui_show_sub_buttons_text,Show Sub Buttons Text,显示子按钮文本,उप बटन टेक्स्ट दिखाएँ
settings.ui_inviter_minimized_cancel_button_visible,Inviter Minimized Cancel Button Visible,发起者最小化取消按钮可见,आमंत्रक छोटा रद्द बटन दिखाई देता है
settings.ui_inviter_minimized_show_tips,Inviter Minimized Show Tips,发起者最小化显示提示,आमंत्रक छोटा टिप्स दिखाएं
settings.ui_invitee_minimized_accept_button_visible,Invitee Minimized Accept Button Visible,被邀请者最小化接受按钮可见,आमंत्रित छोटा स्वीकार बटन दिखाई देता है
settings.ui_invitee_minimized_decline_button_visible,Invitee Minimized Decline Button Visible,被邀请者最小化拒绝按钮可见,आमंत्रित छोटा अस्वीकार बटन दिखाई देता है
settings.ui_invitee_minimized_show_tips,Invitee Minimized Show Tips,被邀请者最小化显示提示,आमंत्रित छोटा टिप्स दिखाएं
settings.duration,"Duration","通话时长","काल की अवधि"
settings.duration.auto_hang_up,"Auto Hang Up","自动挂断","स्वचालित हैंड अप"
settings.duration.seconds_tips,"{} seconds remaining","剩余 {} 秒","{} सेकंड शेष"
settings.duration.end_tips,"About to end","即将结束","समापन के बारे में"
settings.others,Others,其他,अन्य
settings.enable_debug_toast,"Enable Debug Toast","启用调试提示","डिबग टोस्ट सक्षम करें"
settings.enable_debug_mode,"Enable Debug Mode","启用调试信息","डिबगिंग जानकारी सक्षम करें"
settings.audio_route_changed,"Local Audio Route Changed","本地音频路由已更改","स्थानीय ऑडियो रूट बदल गया"
settings.required_user,"Required User",必需用户,"आवश्यक उपयोगकर्ता"
settings.required_user.enabled,"Required User Enabled",启用必需用户检测,"आवश्यक उपयोगकर्ता जांच सक्षम करें"
settings.required_user.detect_seconds,"Required User Detect Seconds",必需用户检测时间(秒),"आवश्यक उपयोगकर्ता जांच समय (सेकंड)"
settings.required_user.detect_in_debug_mode,"Required User Detect In Debug Mode",调试模式下启用必需用户检测,"डिबग मोड में आवश्यक उपयोगकर्ता जांच सक्षम करें"
settings.end_call_when_initiator_leave,"End Call When Initiator Leave",发起者离开时结束通话,"आरंभकर्ता छोड़ने पर कॉल समाप्त करें"
settings.offline_auto_enter_accepted_offline_call,"Offline Auto Enter Accepted Offline Call",离线通话自动进入已接受的离线通话,"ऑफ़लाइन कॉल स्वचालित रूप से स्वीकृत ऑफ़लाइन कॉल में प्रवेश करें"
settings.background_media,"Background Media",背景媒体,"पृष्ठभूमि मीडिया"
settings.background_media.path,"Background Media Path",背景媒体路径,"पृष्ठभूमि मीडिया पथ"
settings.background_media.enable_repeat,"Background Media Enable Repeat",背景媒体启用重复播放,"पृष्ठभूमि मीडिया दोहराव सक्षम करें"
settings.mute_invisible,"Mute Invisible",静音不可见,"अदृश्य म्यूट करें"
settings.top_menu_bar.title,"Top Menu Bar Title",顶部菜单栏标题,"शीर्ष मेनू बार शीर्षक"
settings.top_menu_bar.style,"Top Menu Bar Style",顶部菜单栏样式,"शीर्ष मेनू बार शैली"
settings.bottom_menu_bar.style,"Bottom Menu Bar Style",底部菜单栏样式,"नीचे मेनू बार शैली"
settings.member_list.show_microphone_state,"Member List Show Microphone State",成员列表显示麦克风状态,"सदस्य सूची माइक्रोफोन स्थिति दिखाएँ"
settings.member_list.show_camera_state,"Member List Show Camera State",成员列表显示摄像头状态,"सदस्य सूची कैमरा स्थिति दिखाएँ"
settings.notification_view,"Notification View",通知视图,"सूचना दृश्य"
settings.notification_view.notify_user_leave,"Notification View Notify User Leave",通知视图通知用户离开,"सूचना दृश्य उपयोगकर्ता छोड़ने की सूचना दें"
settings.duration.can_sync,"Duration Can Sync",时长可同步,"अवधि सिंक कर सकती है"
intro.skip,Skip,跳过,"छोड़ें"
intro.done,Done,完成,"पूर्ण"
intro.enter,Enter,进入,"प्रवेश करें"
intro.title_call_1v1,"1-on-1 calls",1v1呼叫,"1-के-1 कॉल"
intro.body_call_1v1,"Add 1-on-1 voice and video calls to your web or mobile apps with Voice/Video Call Kit easily and quickly, making deeper connections and engaging communications no longer difficult.","轻松快速地将1对1语音和视频通话添加到您的网页或移动应用中，深度连接，便捷沟通。","आप अपने वेब या मोबाइल ऐप में वॉयस/वीडियो कॉल किट के साथ 1-के-1 वॉयस और वीडियो कॉल जोड़ सकते हैं।"
intro.title_call_group,"Group calls",多人呼叫,"समूह कॉल"
intro.body_call_group,"Add voice and video group calls to your web or mobile apps with Voice/Video Call Kit easily and quickly, making smooth and interactive calling experiences no longer unreachable.","轻松快速地将语音和视频群组通话添加到您的网页或移动应用中，创造顺畅的互动通话体验。","आप अपने वेब या मोबाइल ऐप में वॉयस/वीडियो कॉल किट के साथ समूह कॉल जोड़ सकते हैं।"
intro.title_live_streaming,"Live streaming",直播,"सीधा प्रसारण"
intro.body_live_streaming,"Build wonderful livestream experiences with our Live Streaming Kit, making your user and customer more engaged and stay longer.","使用我们的直播套件构建精彩的直播体验，让用户和客户更投入，停留更久。","हमारे लाइव स्ट्रीमिंग किट के साथ शानदार लाइवस्ट्रीम अनुभव बनाएं।"
intro.title_audio_room,"Live audio room",语聊房间,"सीधा ऑडियो कक्ष"
intro.body_audio_room,"Add a live audio room to your mobile apps with Live Audio Room Kit in 30 minutes, keep your users active in your app longer to earn more.","在30分钟内使用直播语聊房间套件为您的移动应用添加一个直播语聊房间，让用户在您的应用中更活跃，从而赚取更多。","30 मिनट में अपने मोबाइल ऐप में लाइव ऑडियो रूम जोड़ें।"
intro.title_conference,"Video conference",视频会议,"वीडियो सम्मेलन"
intro.body_conference,"No longer working in an old and inefficient way. our Video Conference Kit empowers you to build anything, from a video calling app to a Zoom-like app to maximize efficiency.","不再以旧的低效方式工作。我们的视频会议套件使您能够构建任何应用，从视频通话应用到类似Zoom的应用，以最大化效率。","पुराने और अप्रभावी तरीके से काम नहीं करना।"
intro.title_imkit,"In-app chat",应用内聊天,"इन-ऐप चैट"
intro.body_imkit,"Add 1-on-1 and group chats to your mobile and web apps with In-app Chat Kit in 30 minutes. Give your users a feature-rich and engaging chat experience.","在30分钟内为您的移动和网页应用添加1对1和群组聊天功能，提供丰富的互动聊天体验。","30 मिनट में अपने मोबाइल और वेब ऐप में 1-के-1 और समूह चैट जोड़ें।"
drawer.language,Language,语言,"भाषा"
drawer.sign_out,Sign Out,退出,"साइन आउट"
drawer.about,About,关于,बारे में
drawer.feedback,Feedback,反馈,प्रतिक्रिया
drawer.share_logs,Share Logs,分享日志,लॉग साझा करें
drawer.stream_test,Stream Test,流测试,"स्ट्रीम टेस्ट"
drawer.clear,Clear Cache,清空缓存,कैश साफ़ करें
feedback.title,Feedback Title,反馈标题,"प्रतिक्रिया शीर्षक"
feedback.content,Feedback Content,反馈内容,"प्रतिक्रिया सामग्री"
feedback.contact,Contact Information,联系方式,"संपर्क जानकारी"
feedback.addLogs,Add Logs,添加日志,"लॉग जोड़ें"
feedback.button,Send,发送,"भेजें"
feedback.thankYou,Thank you for your feedback!,感谢您的反馈！,"आपकी प्रतिक्रिया के लिए धन्यवाद!"
feedback.sent,Feedback Sent,反馈已发送,"प्रतिक्रिया भेजी गई"
feedback.send_method,Send Method,发送方式,"भेजने का तरीका"
feedback.system_share,System Share,系统分享,"सिस्टम साझाकरण"
feedback.system_share_desc,Send via system share panel (Recommended),通过系统分享面板发送（推荐）,"सिस्टम शेयर पैनल के माध्यम से भेजें (अनुशंसित)"
feedback.email_send,Email Send,邮箱发送,"ईमेल भेजें"
feedback.email_send_desc,Send via email app,通过邮件应用发送,"ईमेल ऐप के माध्यम से भेजें"
feedback.share_feedback,Share Feedback,分享反馈,"प्रतिक्रिया साझा करें"
feedback.send_email,Send Email,发送邮件,"ईमेल भेजें"
feedback.share_failed,Share failed,分享失败,"साझाकरण असफल"
feedback.feedback_default,Feedback,反馈,"प्रतिक्रिया"
feedback.logs_with_parts,Feedback log files ({} parts),反馈日志文件（共{}个部分）,"प्रतिक्रिया लॉग फ़ाइलें ({} भाग)"
stream_test.title,Stream Test,流测试,"स्ट्रीम टेस्ट"
stream_test.room_settings,Room Settings,房间设置,"कमरा सेटिंग्स"
stream_test.room_id,Room ID,房间ID,"कमरा ID"
stream_test.user_id,User ID,用户ID,"उपयोगकर्ता ID"
stream_test.user_name,User Name,用户名,"उपयोगकर्ता नाम"
stream_test.stream_id,Stream ID (Optional),流ID（可选）,"स्ट्रीम ID (वैकल्पिक)"
stream_test.join_room,Join Room,加入房间,"कमरे में शामिल हों"
stream_test.please_fill_fields,Please fill in all required fields,请填写所有必填字段,"कृपया सभी आवश्यक फ़ील्ड भरें"
stream_test.room_info,Room,房间,"कमरा"
stream_test.user_info,User,用户,"उपयोगकर्ता"
stream_test.stream_info,Stream,流,"स्ट्रीम"
stream_test.joined_successfully,Joined room successfully,成功加入房间,"कमरे में सफलतापूर्वक शामिल हुए"
stream_test.failed_to_join,Failed to join room,加入房间失败,"कमरे में शामिल होने में विफल"
stream_test.left_successfully,Left room successfully,成功离开房间,"कमरा सफलतापूर्वक छोड़ा"
stream_test.failed_to_leave,Failed to leave room,离开房间失败,"कमरा छोड़ने में विफल"
stream_test.camera_settings,Camera Settings,摄像头设置,"कैमरा सेटिंग्स"
stream_test.microphone_settings,Microphone Settings,麦克风设置,"माइक्रोफोन सेटिंग्स"
stream_test.turn_on_camera,Turn on camera,打开摄像头,"कैमरा चालू करें"
stream_test.turn_on_microphone,Turn on microphone,打开麦克风,"माइक्रोफोन चालू करें"
stream_test.local_stream,Local Stream,本地推流,"स्थानीय स्ट्रीम"
stream_test.remote_stream,Remote Stream,远端拉流,"दूरस्थ स्ट्रीम"
stream_test.local_user_id,Local User ID,本地用户ID,"स्थानीय उपयोगकर्ता ID"
stream_test.local_user_name,Local User Name,本地用户名,"स्थानीय उपयोगकर्ता नाम"
stream_test.local_stream_id,Local Stream ID,本地流ID,"स्थानीय स्ट्रीम ID"
stream_test.remote_user_id,Remote User ID,远端用户ID,"दूरस्थ उपयोगकर्ता ID"
stream_test.remote_user_name,Remote User Name,远端用户名,"दूरस्थ उपयोगकर्ता नाम"
stream_test.remote_stream_id,Remote Stream ID,远端流ID,"दूरस्थ स्ट्रीम ID"
gift.give,Give,赠送,"देना"
gift.category.normal,Normal,通用,"सामान्य"
gift.category.sport,Sport,运动,"खेल"
gift.category.children,Children,儿童,"बच्चे"
live.title,"Live Streaming",直播,"लाइव स्ट्रीमिंग"
live.room_list.empty_tips,"The live id list is empty. Please fill in the live list information on the settings page.","直播列表信息为空，请在设置页的填写直播列表信息","लाइव आईडी सूची खाली है। कृपया सेटिंग्स पृष्ठ पर लाइव सूची की जानकारी भरें।"
live.swiping.title,Swiping to Switch,划动切换,स्वाइप करके स्विच करना
live.swiping.join_tips,Joined the {} live streaming,加入了{}直播间,{} लाइव रूम में शामिल हुआ
live.live_list.title,"Live List",直播列表,"लाइव सूची"
live.live_list.empty_tips,"The live list is empty. Please fill in the live list information on the settings page.","列表主播信息为空，请在设置页的填写直播列表信息","लाइव सूची खाली है। कृपया सेटिंग्स पृष्ठ पर लाइव सूची की जानकारी भरें।"
live.enter_live,"Enter Live",进入直播,"लाइव में शामिल हों"
live.pk.title,"PK Battle",PK,"PK लड़ाई"
live.pk.host_list_title,"Hosts","主播列表","होस्ट"
live.pk.host_empty_tips,"Hosts are empty, invite more people to use it.","主播为空，去邀请更多的人使用吧","होस्ट खाली हैं, अधिक लोगों को उपयोग के लिए आमंत्रित करें।"
live.pk.end,"End PK","结束PK","PK समाप्त करें"
live.pk.quit,"Quit PK","退出PK","PK छोड़ें"
live.pk.invite,"Invite to PK","邀请PK","PK के लिए आमंत्रित करें"
live.pk.manual_input_tips,"Manually input Host ID to invite","手动输入Host ID发起邀请","होस्ट आईडी मैन्युअल रूप से दर्ज करें"
live.pk.host_id_placeholder,"Please enter Host ID","请输入Host ID","कृपया होस्ट आईडी दर्ज करें"
live.pk.send_invite,"Send PK Invite","发起PK邀请","PK आमंत्रण भेजें"
live.pk.invite_sent,"PK invitation sent","PK邀请已发送","PK आमंत्रण भेजा गया"
live.pk.please_enter_host_id,"Please enter Host ID","请输入Host ID","कृपया होस्ट आईडी दर्ज करें"
live.media_sharing.title,"Media Sharing","媒体共享","मीडिया साझाकरण"
live.click_to_enter_live,"Click to Enter Live","点击进入直播间","लाइव में प्रवेश करने के लिए क्लिक करें"
live.living,"Live","直播中","लाइव"
call.invitation.title,"Invitation",呼叫邀请,"आमंत्रण"
call.one_on_one.title,"One on One",一对一通话,"एक-से-एक"
call.group.title,"Group",多人通话,"समूह"
call.contacts.title,"Contacts",联系人,संपर्क
call.contacts.empty_tips,"Contacts are empty, invite more people to use it.","联系人为空，去邀请更多的人使用吧","संपर्क खाली हैं, अधिक लोगों को उपयोग के लिए आमंत्रित करें।"
settings.calling,Calling,呼叫中,कॉल कर रहा है
settings.in_call,In Call,通话中,कॉल में
chat.title,"Chat",聊天,"चैट"
chat.add_member,"Add Member",添加成员,"सदस्य जोड़ें"
chat.remove_member,"Remove Member",移除成员,"सदस्य हटाएँ"
chat.member_list,"Member List",成员列表,"सदस्य सूची"
chat.leave_group,"Leave Group",离开小组,"समूह छोड़ें"
chat.disband_group,"Disband Group",解散小组,"समूह भंग करें"
chat.leave_tips,"Do you want to leave this group?",您想离开这个小组吗？,"क्या आप इस समूह को छोड़ना चाहते हैं?"
chat.delete,"Delete",删除,"हटाएँ"
chat.revoke,"Revoke",撤回,"रद्द करें"
chat.new_chat,"New Chat",新聊天,"नया चैट"
chat.new_group,"New Group",新建小组,"नया समूह"
